  State   Population       Child Population         Child Poverty Population     % Child Poverty
  -----   ----------         --------------         ------------------------     ---------------
      1    4,833,722                814,377                          205,023               25.18
      2      735,132                132,740                           16,118               12.14
      3      126,808                  7,829                            1,149               14.68
      4    8,561,341              1,175,102                          287,628               24.48
      5    2,959,373                516,950                          132,920               25.71
      6   48,909,205              6,667,268                        1,468,715               22.03
      7      102,866                 22,047                            1,067                4.84
      8    5,165,501                880,749                          138,314                15.7
      9    3,747,676                593,629                           77,895               13.12
     10      925,749                147,239                           25,169               17.09
     11      646,449                 70,507                           20,544               29.14
     12   19,552,860              2,948,361                          678,022                23.0
     13   10,010,465              1,821,201                          445,608               24.47
     14    1,404,054                216,496                           29,375               13.57
     15        3,676                    896                              191               21.32
     16    1,608,460                313,398                           56,442               18.01
     17   17,704,060              2,224,288                          427,235               19.21
     18    6,570,099              1,165,146                          226,599               19.45
     19    3,090,416                529,306                           77,634               14.67
     20    2,893,957                523,686                           84,325                16.1
     21    4,405,846                739,127                          171,418               23.19
     22    4,625,470                804,740                          212,904               26.46
     23    1,358,717                196,262                           31,174               15.88
     24    5,928,814                977,312                          120,049               12.28
     25    7,107,877              1,028,400                          153,286               14.91
     26    9,895,622              1,672,433                          351,702               21.03
     27    5,420,550                931,542                          119,437               12.82
     28    2,991,207                539,006                          170,629               31.66
     29    6,044,171              1,020,848                          203,216               19.91
     30    1,913,094                162,709                           30,655               18.84
     31    1,868,516                334,188                           49,030               14.67
     32    2,790,136                483,411                           99,599                20.6
     33    1,472,055                205,461                           19,714                 9.6
     34   10,552,547              1,488,882                          222,992               14.98
     35    2,085,287                368,816                          103,790               28.14
     36   19,901,043              3,066,336                          666,553               21.74
     37    9,848,060              1,673,310                          386,419               23.09
     38      723,393                113,921                           12,685               11.13
     39   11,570,743              1,958,998                          398,688               20.35
     40    3,851,487                682,548                          144,867               21.22
     41    3,931,430                627,584                          118,023               18.81
     42   12,773,801              1,999,741                          342,181               17.11
     43       16,100                  3,766                              142                3.77
     44    1,049,807                155,589                           31,226               20.07
     45    4,790,785                787,482                          194,639               24.72
     46      844,877                148,002                           24,675               16.67
     47    6,778,703              1,091,900                          260,103               23.82
     48   26,452,422              5,101,161                        1,198,322               23.49
     49    2,900,872                642,722                           85,745               13.34
     50      940,840                 92,223                           11,990                13.0
     51    8,260,405              1,352,420                          190,734                14.1
     52       19,885                  3,316                              964               29.07
     53    6,951,521              1,147,859                          196,162               17.09
     54    1,854,304                279,484                           64,539               23.09
     55    5,956,920                963,445                          157,356               16.33
     56      582,360                 99,290                           11,701               11.78
